ID,Salary,JobCity,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience
0,200000,Bangalore,m,15-01-1990,55.5,state board,2007,52.5,state board,44,2,MCA,computer application,72.8,44,0,Uttar Pradesh,2013,415,495,445,0.864685413,525,-1,-1,-1,-1,-1,-1,,-0.6201,-0.1437,0.9066,-1.6273
1,190000,Chennai,m,02-11-1990,83,state board,,86,state board,11473,2,B.Tech/B.E.,electronics and communication engineering,71,11473,1,Tamil Nadu,2013,555,555,280,0.376059587,425,300,-1,-1,-1,313,-1,-0.159,0.8784,0.7785,0.1459,1.247
2,335000,Chennai & Mumbai,m,31-07-1991,81.2,cbse,2008,75.4,cbse,2795,1,B.Tech/B.E.,computer engineering,74.1,2795,0,Madhya Pradesh,2013,495,595,625,0.911395278,685,-1,500,-1,-1,-1,-1,-1.0208,-1.1196,-0.6048,0.5262,0.2889
3,325000,Noida,m,16-07-1990,85,cbse,2008,68.6,cbse,5232,2,B.Tech/B.E.,,64.5,5232,0,Haryana,2012,585,465,425,0.450876584,395,-1,-1,-1,-1,-1,-1,-0.9969,0.0328,-0.344,0.7086,-1.2354
4,360000,Chennai,m,14-07-1991,89.9,state board,,84.5,state board,8524,2,B.Tech/B.E.,electronics and communication engineering,68,8524,0,Karnataka,2013,675,485,485,-1,455,-1,-1,-1,-1,-1,-1,1.2772,0.8784,0.4711,-0.7415,0.4805
5,100000,kolhapur,f,01-05-1991,76.93,0,,79.5,0,7172,2,B.Tech/B.E.,computer engineering,63.25,7172,0,Maharashtra,2012,394,475,515,0.765673581,485,-1,-1,-1,-1,-1,-1,0.2009,0.9688,-1.7954,-0.4078,0.5419
6,325000,hyderabad,f,22-08-1993,87,state board,2010,96,state board,1242,2,B.Tech/B.E.,electronics and communication engineering,82.9,1242,0,Telangana,2014,510,570,680,0.943272158,405,452,-1,-1,-1,-1,-1,0.5591,0.8784,0.9322,-0.8682,1.0554
7,1200000,Bangalore,m,06-12-1988,92.8,cbse,2005,87,cbse,443,1,M.Tech./M.E.,electronics and electrical engineering,95.3,443,0,Uttar Pradesh,2012,695,675,725,0.824666401,-1,400,-1,-1,-1,-1,-1,1.4374,1.7488,0.9623,-2.1704,0.8973
8,705000,New Delhi,m,27-03-1991,90,cbse,2009,92,cbse,7542,2,B.Tech/B.E.,electronics and communication engineering,76.4,7542,1,Delhi,2013,695,450,665,0.538386893,485,333,-1,-1,-1,-1,-1,,0.0459,-0.4511,,0.2889
9,335000,Navi Mumbai,f,30-09-1990,72,cbse,2009,73,cbse,13210,2,B.Tech/B.E.,computer engineering,71,13210,0,Uttar Pradesh,2013,485,465,400,0.765673581,485,-1,-1,-1,-1,-1,-1,-0.7335,-0.2871,-0.1437,1.9207,-0.6692
10,420000,Mumbai,m,07-05-1993,89,state board,2010,82.2,state board,4042,2,B.Tech/B.E.,computer science & engineering,72.4,4042,0,Tamil Nadu,2014,450,510,575,0.622642916,505,-1,407,-1,-1,-1,-1,0.8463,0.8784,1.7007,-1.1218,0.8637
11,700000,Bangalore,m,22-09-1988,91,tamilnadu state board,2006,95,tamilnadu state board,8799,2,B.Tech/B.E.,computer engineering,74.5,8799,0,Tamil Nadu,2010,515,595,375,-1,-1,-1,-1,-1,-1,-1,-1,0.2009,1.2808,-0.9245,-1.7004,-0.7615
12,480000,Bangalore,f,21-03-1990,89.92,karnataka state board,2008,77,karnataka state board,1384,2,B.Tech/B.E.,industrial & production engineering,76.5,1384,0,Karnataka,2012,525,415,385,-1,-1,-1,-1,-1,-1,-1,-1,0.6646,1.5928,0.8171,0.2973,0.8973
